Id,Title,Category,Interaction,Description
53,Vcenter Process Memory Tampered,Tampering,vCenter to NTP,If Vcenter is given access to memory... then Vcenter can tamper with NTP.
54,Replay Attacks,Tampering,vCenter to NTP,Packets or messages without sequence numbers or timestamps can be captured and replayed...
55,Collision Attacks,Tampering,vCenter to NTP,Attackers who can send a series of packets or messages may be able to overlap data...
56,Weak Authentication Scheme,Information Disclosure,vCenter to NTP,Custom authentication schemes are susceptible to common weaknesses...
57,Elevation Using Impersonation,Elevation Of Privilege,vCenter to NTP,NTP may be able to impersonate the context of Vcenter...
58,Vcenter Process Memory Tampered,Tampering,vCenter to OS ESXi,"\""If Vcenter is given access to memory... then Vcenter can tamper with OS ESXi.\"""
59,Replay Attacks,Tampering,vCenter to OS ESXi,Packets or messages without sequence numbers or timestamps can be captured and replayed...
60,Collision Attacks,Tampering,vCenter to OS ESXi,Attackers who can send a series of packets or messages may be able to overlap data...
61,Weak Authentication Scheme,Information Disclosure,vCenter to OS ESXi,Custom authentication schemes are susceptible to common weaknesses...
62,Elevation Using Impersonation,Elevation Of Privilege,vCenter to OS ESXi,OS ESXi may be able to impersonate the context of Vcenter...
63,Vcenter Process Memory Tampered,Tampering,vCenter to Firewall,If Vcenter is given access to memory... then Vcenter can tamper with Firewall.
64,Replay Attacks,Tampering,vCenter to Firewall,Packets or messages without sequence numbers or timestamps can be captured and replayed...
65,Collision Attacks,Tampering,vCenter to Firewall,Attackers who can send a series of packets or messages may be able to overlap data...
66,Weak Authentication Scheme,Information Disclosure,vCenter to Firewall,Custom authentication schemes are susceptible to common weaknesses...
67,Elevation Using Impersonation,Elevation Of Privilege,vCenter to Firewall,Firewall may be able to impersonate the context of Vcenter...
68,Replay Attacks,Tampering,Switch to workstation,Packets or messages without sequence numbers or timestamps can be captured and replayed...
69,Collision Attacks,Tampering,Switch to workstation,Attackers who can send a series of packets or messages may be able to overlap data...
70,Weak Authentication Scheme,Information Disclosure,Switch to workstation,Custom authentication schemes are susceptible to common weaknesses...
71,Elevation Using Impersonation,Elevation Of Privilege,Switch to workstation,Workstation may be able to impersonate the context of Switch...
72,Replay Attacks,Tampering,workstation to vCenter,Packets or messages without sequence numbers or timestamps can be captured and replayed...
73,Collision Attacks,Tampering,workstation to vCenter,Attackers who can send a series of packets or messages may be able to overlap data...
74,Weak Authentication Scheme,Information Disclosure,workstation to vCenter,Custom authentication schemes are susceptible to common weaknesses...
75,Elevation Using Impersonation,Elevation Of Privilege,workstation to vCenter,Vcenter may be able to impersonate the context of Workstation...
76,Workstation Process Memory Tampered,Tampering,workstation to switch,If Workstation is given access to memory... then Workstation can tamper with Switch...
77,Replay Attacks,Tampering,workstation to switch,Packets or messages without sequence numbers or timestamps can be captured and replayed...
78,Collision Attacks,Tampering,workstation to switch,Attackers who can send a series of packets or messages may be able to overlap data...
79,Weak Authentication Scheme,Information Disclosure,workstation to switch,Custom authentication schemes are susceptible to common weaknesses...
80,Elevation Using Impersonation,Elevation Of Privilege,workstation to switch,Switch may be able to impersonate the context of Workstation...
81,Workstation Process Memory Tampered,Tampering,Workstation to Firewall,If Workstation is given access to memory... then Workstation can tamper with Firewall...
82,Replay Attacks,Tampering,Workstation to Firewall,Packets or messages without sequence numbers or timestamps can be captured and replayed...
83,Collision Attacks,Tampering,Workstation to Firewall,Attackers who can send a series of packets or messages may be able to overlap data...
84,Weak Authentication Scheme,Information Disclosure,Workstation to Firewall,Custom authentication schemes are susceptible to common weaknesses...
85,Elevation Using Impersonation,Elevation Of Privilege,Workstation to Firewall,Firewall may be able to impersonate the context of Workstation...
86,Server Process Memory Tampered,Tampering,Server to OS ESXi,If Server is given access to memory... then Server can tamper with OS ESXi...
87,Replay Attacks,Tampering,Server to OS ESXi,Packets or messages without sequence numbers or timestamps can be captured and replayed...
88,Collision Attacks,Tampering,Server to OS ESXi,Attackers who can send a series of packets or messages may be able to overlap data...
89,Weak Authentication Scheme,Information Disclosure,Server to OS ESXi,Custom authentication schemes are susceptible to common weaknesses...
90,Elevation Using Impersonation,Elevation Of Privilege,Server to OS ESXi,OS ESXi may be able to impersonate the context of Server...
91,NTP Process Memory Tampered,Tampering,NTP to BR Solution,If NTP is given access to memory... then NTP can tamper with BR Solution...
92,Replay Attacks,Tampering,NTP to BR Solution,Packets or messages without sequence numbers or timestamps can be captured and replayed...
93,Collision Attacks,Tampering,NTP to BR Solution,Attackers who can send a series of packets or messages may be able to overlap data...
94,Weak Authentication Scheme,Information Disclosure,NTP to BR Solution,Custom authentication schemes are susceptible to common weaknesses...
95,Elevation Using Impersonation,Elevation Of Privilege,NTP to BR Solution,BR Solution may be able to impersonate the context of NTP...
96,Replay Attacks,Tampering,NTP to vCenter,Packets or messages without sequence numbers or timestamps can be captured and replayed...
97,Collision Attacks,Tampering,NTP to vCenter,Attackers who can send a series of packets or messages may be able to overlap data...
98,Weak Authentication Scheme,Information Disclosure,NTP to vCenter,Custom authentication schemes are susceptible to common weaknesses...
99,Elevation Using Impersonation,Elevation Of Privilege,NTP to vCenter,Vcenter may be able to impersonate the context of NTP...
100,NTP Process Memory Tampered,Tampering,NTP to Switch,If NTP is given access to memory... then NTP can tamper with Switch...
101,Replay Attacks,Tampering,NTP to Switch,Packets or messages without sequence numbers or timestamps can be captured and replayed...
102,Collision Attacks,Tampering,NTP to Switch,Attackers who can send a series of packets or messages may be able to overlap data...
103,Weak Authentication Scheme,Information Disclosure,NTP to Switch,Custom authentication schemes are susceptible to common weaknesses...
104,Elevation Using Impersonation,Elevation Of Privilege,NTP to Switch,Switch may be able to impersonate the context of NTP...
105,Replay Attacks,Tampering,NTP to Workstation,Packets or messages without sequence numbers or timestamps can be captured and replayed...
106,Collision Attacks,Tampering,NTP to Workstation,Attackers who can send a series of packets or messages may be able to overlap data...
107,Weak Authentication Scheme,Information Disclosure,NTP to Workstation,Custom authentication schemes are susceptible to common weaknesses...
108,Elevation Using Impersonation,Elevation Of Privilege,NTP to Workstation,Workstation may be able to impersonate the context of NTP...
109,Replay Attacks,Tampering,NTP to Server,Packets or messages without sequence numbers or timestamps can be captured and replayed...
110,Collision Attacks,Tampering,NTP to Server,Attackers who can send a series of packets or messages may be able to overlap data...
111,Weak Authentication Scheme,Information Disclosure,NTP to Server,Custom authentication schemes are susceptible to common weaknesses...
112,Elevation Using Impersonation,Elevation Of Privilege,NTP to Server,Workstation may be able to impersonate the context of NTP...
113,NTP Process Memory Tampered,Tampering,NTP to OS ESXi,If NTP is given access to memory... then NTP can tamper with OS ESXi...
114,Replay Attacks,Tampering,NTP to OS ESXi,Packets or messages without sequence numbers or timestamps can be captured and replayed...
115,Collision Attacks,Tampering,NTP to OS ESXi,Attackers who can send a series of packets or messages may be able to overlap data...
116,Weak Authentication Scheme,Information Disclosure,NTP to OS ESXi,Custom authentication schemes are susceptible to common weaknesses...
117,Elevation Using Impersonation,Elevation Of Privilege,NTP to OS ESXi,OS ESXi may be able to impersonate the context of NTP...
118,NTP Process Memory Tampered,Tampering,NTP to Firewall,If NTP is given access to memory... then NTP can tamper with Firewall...
119,Replay Attacks,Tampering,NTP to Firewall,Packets or messages without sequence numbers or timestamps can be captured and replayed...
120,Collision Attacks,Tampering,NTP to Firewall,Attackers who can send a series of packets or messages may be able to overlap data...
121,Weak Authentication Scheme,Information Disclosure,NTP to Firewall,Custom authentication schemes are susceptible to common weaknesses...
122,Elevation Using Impersonation,Elevation Of Privilege,NTP to Firewall,Firewall may be able to impersonate the context of NTP...
123,OS ESXi Process Memory Tampered,Tampering,OS ESXi to BR Solution,If OS ESXi is given access to memory... then it can tamper with BR Solution...
124,Replay Attacks,Tampering,OS ESXi to BR Solution,Packets or messages without sequence numbers or timestamps can be captured and replayed...
125,Collision Attacks,Tampering,OS ESXi to BR Solution,Attackers who can send a series of packets or messages may be able to overlap data...
126,Weak Authentication Scheme,Information Disclosure,OS ESXi to BR Solution,Custom authentication schemes are susceptible to common weaknesses...
127,Elevation Using Impersonation,Elevation Of Privilege,OS ESXi to BR Solution,BR Solution may be able to impersonate the context of OS ESXi...
128,Replay Attacks,Tampering,Firewall to vCenter,Packets or messages without sequence numbers or timestamps can be captured and replayed...
129,Collision Attacks,Tampering,Firewall to vCenter,Attackers who can send a series of packets or messages may be able to overlap data...
130,Weak Authentication Scheme,Information Disclosure,Firewall to vCenter,Custom authentication schemes are susceptible to common weaknesses...
131,Elevation Using Impersonation,Elevation Of Privilege,Firewall to vCenter,Vcenter may be able to impersonate the context of Firewall...
132,Replay Attacks,Tampering,Firewall to Workstation,Packets or messages without sequence numbers or timestamps can be captured and replayed...
133,Collision Attacks,Tampering,Firewall to Workstation,Attackers who can send a series of packets or messages may be able to overlap data...
134,Weak Authentication Scheme,Information Disclosure,Firewall to Workstation,Custom authentication schemes are susceptible to common weaknesses...
135,Elevation Using Impersonation,Elevation Of Privilege,Firewall to Workstation,Workstation may be able to impersonate the context of Firewall...
136,Firewall Process Memory Tampered,Tampering,Firewall to Server,If Firewall is given access to memory... then Firewall can tamper with Server...
137,Replay Attacks,Tampering,Firewall to Server,Packets or messages without sequence numbers or timestamps can be captured and replayed...
138,Collision Attacks,Tampering,Firewall to Server,Attackers who can send a series of packets or messages may be able to overlap data...
139,Weak Authentication Scheme,Information Disclosure,Firewall to Server,Custom authentication schemes are susceptible to common weaknesses...
140,Elevation Using Impersonation,Elevation Of Privilege,Firewall to Server,Server may be able to impersonate the context of Firewall...
141,Firewall Process Memory Tampered,Tampering,Firewall to BR Solution,If Firewall is given access to memory... then Firewall can tamper with BR Solution...
142,Replay Attacks,Tampering,Firewall to BR Solution,Packets or messages without sequence numbers or timestamps can be captured and replayed...
143,Collision Attacks,Tampering,Firewall to BR Solution,Attackers who can send a series of packets or messages may be able to overlap data...
144,Weak Authentication Scheme,Information Disclosure,Firewall to BR Solution,Custom authentication schemes are susceptible to common weaknesses...
145,Elevation Using Impersonation,Elevation Of Privilege,Firewall to BR Solution,BR Solution may be able to impersonate the context of Firewall...
146,Firewall Process Memory Tampered,Tampering,Firewall to NTP,If Firewall is given access to memory... then Firewall can tamper with NTP...
147,Replay Attacks,Tampering,Firewall to NTP,Packets or messages without sequence numbers or timestamps can be captured and replayed...
148,Collision Attacks,Tampering,Firewall to NTP,Attackers who can send a series of packets or messages may be able to overlap data...
149,Weak Authentication Scheme,Information Disclosure,Firewall to NTP,Custom authentication schemes are susceptible to common weaknesses...
150,Elevation Using Impersonation,Elevation Of Privilege,Firewall to NTP,NTP may be able to impersonate the context of Firewall...
